번호,나라,도시명,영문표기,등록일,상세페이지 링크
106,스페인,마드리드,Madrid,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=100&frommain=1&fm=y
107,스페인,바르셀로나,Barcelona,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=98&frommain=1&fm=y
108,스페인,팔마 데 마요르카,Palma de Mallorca,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=102&frommain=1&fm=y
109,싱가포르,싱가포르,Singapore,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=177&frommain=1&fm=y
110,아랍에미레이트,두바이,Dubai,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=178&frommain=1&fm=y
111,아르헨티나,부에노스아이레스,Buenos Aires,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=91&frommain=1&fm=y
112,에콰도르,끼토,Quito,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=86&frommain=1&fm=y
113,영국,글래스고,Glasgow,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=111&frommain=1&fm=y
114,영국,뉴캐슬,Newcastle upon Tyne,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=114&frommain=1&fm=y
115,영국,런던,London,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=121&frommain=1&fm=y
116,영국,레스터,Leicester,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=123&frommain=1&fm=y
117,영국,리즈,Leeds,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=126&frommain=1&fm=y
118,영국,맨체스터,Manchester,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=146&frommain=1&fm=y
119,영국,밀튼킨즈,Milton Keynes,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=132&frommain=1&fm=y
120,영국,바스,Bath,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=137&frommain=1&fm=y
121,영국,버밍엄,Birmingham,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=149&frommain=1&fm=y
122,영국,브리스톨,Bristol,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=139&frommain=1&fm=y
123,영국,에든버러,Edinburgh,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=141&frommain=1&fm=y
124,영국,옥스퍼드,Oxford,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=140&frommain=1&fm=y
125,영국,케임브리지,Cambridge,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=739&frommain=1&fm=y
126,영국,헤이온와이,Hay-on-Wye,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=143&frommain=1&fm=y
127,오스트레일리아,멜버른,Melbourne,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=74&frommain=1&fm=y
128,오스트레일리아,브리스번,brisbane,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=67&frommain=1&fm=y
129,오스트레일리아,시드니,Sydney,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=73&frommain=1&fm=y
130,오스트레일리아,캔버라,Canberra,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=70&frommain=1&fm=y
131,오스트리아,빈,Wien(Vienna),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=150&frommain=1&fm=y
132,요르단,암만,Amman,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=179&frommain=1&fm=y
133,우루과이,몬테비데오,Montevideo,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=90&frommain=1&fm=y
134,이란,테헤란,Tehran(Teheran),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=180&frommain=1&fm=y
135,이스라엘,텔아비브,Tel Aviv,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=181&frommain=1&fm=y
136,이집트,알렉산드리아,Alexandria(al-Iskandariyya),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=81&frommain=1&fm=y
137,이집트,카이로,Cairo(al-Qahira),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=79&frommain=1&fm=y
138,이탈리아,로마,Roma(Rome),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=155&frommain=1&fm=y
139,이탈리아,밀라노,Milano,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=151&frommain=1&fm=y
140,인도,델리,Delhi,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=182&frommain=1&fm=y
141,인도,방갈로르,Bangalore(Bengaluru),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=183&frommain=1&fm=y
142,인도네시아,자카르타,Jakarta,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=184&frommain=1&fm=y
143,일본,가와사끼,Kawasaki(川崎),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=167&frommain=1&fm=y
144,일본,교토,Kyoto(京都),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=166&frommain=1&fm=y
145,일본,도요타,Toyota(豊田),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=162&frommain=1&fm=y
146,일본,도쿄,Tokyo(東京),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=164&frommain=1&fm=y
147,일본,무사시노,Musashino(武藏野),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=161&frommain=1&fm=y
148,일본,쓰쿠바,Tsukuba(筑波),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=159&frommain=1&fm=y
149,일본,오사카,Osaka(大阪),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=154&frommain=1&fm=y
150,일본,요코하마,Yokohama(橫浜),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=156&frommain=1&fm=y
151,중국,광저우,Guangzhou(廣州),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=153&frommain=1&fm=y
